Time;Fz1
0.764;-38189.33701
0.766;-37304.11331
0.768;-25788.79262
0.77;-31599.11809
0.772;-37236.48328
0.774;-28946.6498
0.776;-25462.24506
0.778;-10795.56417
0.78;-36724.00103
0.782;-18898.47836
0.784;-3066.463549
0.786;-6254.022514
0.788;-9061.236841
0.79;-864.5698329
0.792;-40.67179567
0.794;-1294.243554
0.796;-1820.685501
0.798;-1886.355732
0.8;-227.3437466
0.802;-275.7134995
0.804;-276.9228163
0.806;-1091.145675
0.808;-3211.891088
0.81;-957.1477387
0.812;-2.278926722
0.814;-250.5314822
0.816;-4827.782132
0.818;-1139.186235
0.82;-6115.997879
0.822;-9218.303467
0.824;-9733.454172
0.826;-11142.40819
0.828;-10380.71614
0.83;-15947.76337
0.832;-18338.66961
0.834;-26915.09406
0.836;-28686.0165
0.838;-34356.21299
0.84;-55095.82096
0.842;-59676.03018
0.844;-55862.41032
0.846;-88233.2898
0.848;-68214.78984
0.85;-71364.47419
0.852;-71370.03973
0.854;-63685.47152
0.856;-69467.18946
0.858;-102676.2232
0.86;-93565.77399
0.862;-80331.83619
0.864;-91931.14669
0.866;-74694.75105
0.868;-84795.45293
0.87;-69475.81071
0.872;-72095.60016
0.874;-82710.49294
0.876;-71866.69038
0.878;-76096.1154
0.88;-63505.58092
0.882;-73269.58612
0.884;-68622.82453
0.886;-66942.90024
0.888;-66759.18112
0.89;-51347.37094
0.892;-59677.61831
0.894;-55279.51881
0.896;-54530.77814
0.898;-54498.44135
0.9;-61643.56107
0.902;-54010.0043
0.904;-57385.85467
0.906;-61746.22201
0.908;-64223.33543
0.91;-70601.42978
0.912;-73315.12418
0.914;-69344.94639
0.916;-73256.64715
0.918;-87419.43245
0.92;-98640.7834
0.922;-104550.9481
0.924;-108664.6101
0.926;-112050.1381
0.928;-94841.67645
0.93;-129205.3976
0.932;-85383.76817
0.934;-34276.84929
0.936;-35416.21554
0.938;-36617.36268
0.94;-32193.39588
0.942;-31935.21569
0.944;-32292.01561
0.946;-40127.46278
0.948;-40335.22002
0.95;-39197.86728
0.952;-48836.15892
0.954;-68944.3844
0.956;-60771.60245
0.958;-52493.24567
0.96;-68150.95998
0.962;-68899.76092
0.964;-54931.10618
0.966;-65896.17696
0.968;-76639.80006
0.97;-94139.90244
0.972;-102113.0202
0.974;-82414.93154
0.976;-102562.7077
0.978;-102228.4287
0.98;-111476.3499
0.982;-104199.7101
0.984;-73301.45495
0.986;-80868.84931
0.988;-79868.71342
0.99;-105132.1947
0.992;-107867.4281
0.994;-106452.2244
0.996;-132141.0608
0.998;-137278.7303
1;-119816.7287
1.002;-111601.4928
1.004;-129350.9521
1.006;-118566.5978
1.008;-132010.7212
1.01;-155866.8401
1.012;-180624.9573
1.014;-218169.8772
1.016;-190026.8842
1.018;-207936.4676
1.02;-191324.354
1.022;-190849.2636
1.024;-170524.3547
1.026;-161864.7203
1.028;-152193.6062
1.03;-149116.5148
1.032;-139661.5559
1.034;-112664.4376
1.036;-105129.614
1.038;-113079.6543
1.04;-91802.41641
1.042;-87893.62957
1.044;-89390.26723
1.046;-85659.48509
1.048;-91860.64529
1.05;-79362.15826
1.052;-63940.69881
1.054;-71664.45967
1.056;-96132.65192
1.058;-91155.22002
1.06;-100244.9385
1.062;-86005.05826
1.064;-98685.23672
1.066;-100370.4075
1.068;-93443.13386
1.07;-105083.1684
1.072;-101828.2354
1.074;-107027.2674
1.076;-111563.6755
1.078;-114079.0671
1.08;-111686.7695
1.082;-128491.0392
1.084;-107661.2271
1.086;-112526.8805
1.088;-101980.901
1.09;-103398.3238
1.092;-102518.5663
1.094;-102487.5837
1.096;-111628.0372
1.098;-103342.6473
1.1;-104092.8662
1.102;-101653.4636
1.104;-96269.36538
1.106;-104560.8455
1.108;-102922.3329
1.11;-105130.6279
1.112;-95303.06221
1.114;-113322.8856
1.116;-110162.5523
1.118;-101065.2831
1.12;-102488.6614
1.122;-121571.2949
1.124;-113662.5032
1.126;-117415.3632
1.128;-96574.05141
1.13;-84978.15112
1.132;-98035.21857
1.134;-85664.74576
1.136;-81815.15913
1.138;-70444.02815
1.14;-76447.92761
1.142;-66933.11625
1.144;-60758.72022
1.146;-58330.84222
1.148;-52205.97938
1.15;-59309.71922
1.152;-39216.31151
1.154;-33900.44946
1.156;-49296.46348
1.158;-46073.37444
1.16;-40496.34026
1.162;-56585.4574
1.164;-43759.43022
1.166;-33137.28097
1.168;-35889.87026
1.17;-37660.27869
1.172;-36237.72991
1.174;-35354.32828
1.176;-33658.30648
1.178;-46544.89157
1.18;-61937.2862
1.182;-81477.07283
1.184;-94762.7594
1.186;-132067.5959
1.188;-129909.6033
1.19;-142070.8408
1.192;-152623.0948
1.194;-191951.2662
1.196;-151346.4833
1.198;-130886.0733
1.2;-118015.6107
1.202;-127104.9889
1.204;-146234.9045
1.206;-171441.029
1.208;-170328.916
1.21;-201701.9993
1.212;-195811.4453
1.214;-150678.9178
1.216;-154709.4798
1.218;-139319.2156
1.22;-159375.9157
1.222;-152666.6406
1.224;-171281.465
1.226;-185030.6429
1.228;-200656.9706
1.23;-203314.5418
1.232;-185728.9642
1.234;-205521.6668
1.236;-181559.8241
1.238;-207008.7616
1.24;-191029.232
1.242;-232038.916
1.244;-238543.323
1.246;-233756.4307
1.248;-254645.6061
1.25;-217694.333
1.252;-224487.5661
1.254;-219747.4808
1.256;-268131.1127
1.258;-200601.0317
1.26;-192551.8753
1.262;-191887.0465
1.264;-195974.2706
1.266;-242340.4165
1.268;-208405.1487
1.27;-248767.1897
1.272;-260234.303
1.274;-263906.927
1.276;-277228.9988
1.278;-287271.422
1.28;-267101.8659
1.282;-273622.3103
1.284;-232834.7369
1.286;-230541.059
1.288;-245933.0955
1.29;-245828.1375
1.292;-271742.5374
1.294;-166308.7336
1.296;-185307.1328
1.298;-187482.9916
1.3;-218651.8873
1.302;-202257.3326
1.304;-197321.0571
